rural_urban,gender,academic_score,family_income,selected
Urban,Female,64,26907,0
Urban,Female,80,28777,1
Urban,Female,50,103229,0
Rural,Male,52,61745,0
Urban,Male,65,118464,1
Urban,Male,72,101865,1
Rural,Female,60,91818,1
Rural,Male,61,33624,1
Rural,Male,59,33321,0
Urban,Male,81,20488,1
Rural,Male,65,32574,0
Urban,Female,57,15240,0
Urban,Female,87,53221,1
Rural,Male,61,20478,0
Urban,Male,73,65645,1
Urban,Male,77,29262,1
Rural,Male,57,62796,0
Urban,Male,77,14432,1
Rural,Male,85,105257,1
Rural,Male,75,74291,1
Rural,Female,57,89104,1
Urban,Female,99,69399,1
Urban,Male,77,89714,1
Rural,Male,77,60428,1
Rural,Female,86,97731,1
Urban,Female,90,10302,1
Rural,Female,85,92558,1
Rural,Female,76,10055,0
Urban,Male,66,18717,0
Urban,Male,58,38699,1
Rural,Female,82,83686,1
Urban,Male,69,77661,1
Urban,Female,62,54247,1
Rural,Female,77,26748,1
Urban,Female,97,115113,1
Rural,Male,78,14621,1
Urban,Female,62,25034,0
Urban,Male,95,15126,1
Urban,Female,84,15122,1
Rural,Female,55,28030,0
Urban,Male,67,92838,1
Rural,Female,54,94717,1
Rural,Female,96,65658,1
Rural,Male,74,48638,0
Urban,Male,51,77067,0
Urban,Male,59,116476,1
Rural,Male,79,115977,1
Urban,Male,99,98869,1
Rural,Female,94,115186,1
Urban,Male,54,44674,0
Rural,Male,82,45854,1
Urban,Female,50,56271,1
Rural,Male,67,83688,0
Urban,Female,81,48518,1
Rural,Male,96,20267,1
Rural,Male,98,100825,1
Rural,Female,60,11062,0
Urban,Female,70,60448,1
Urban,Female,75,105462,1
Rural,Female,74,16229,0
Urban,Female,71,66793,1
Urban,Male,76,57915,1
Urban,Male,98,14632,1
Urban,Female,62,114592,1
Rural,Female,82,13596,1
Rural,Female,83,119779,1
Urban,Male,90,16168,1
Urban,Male,84,118099,1
Urban,Female,50,17561,0
Rural,Male,70,83794,1
Rural,Female,97,92152,1
Urban,Female,55,36734,0
Urban,Male,77,16371,1
Urban,Female,66,36069,1
Urban,Female,54,89905,1
